date,bitcoin,litecoin,ethereum,ripple,cardano,ethereum-classic
2024-12-04 12:00:00,96252.0,129.12,3728.37,2.62,1.23,36.39
2024-12-04 16:00:00,95839.0,128.94,3829.45,2.52,1.19,38.17
2024-12-04 20:00:00,97136.0,127.4,3842.49,2.43,1.2,37.83
2024-12-05 00:00:00,98881.0,133.7,3839.44,2.35,1.18,37.59
2024-12-05 04:00:00,103422.0,128.01,3845.01,2.25,1.18,36.13
2024-12-05 08:00:00,102472.0,128.74,3862.57,2.37,1.21,36.55
2024-12-05 12:00:00,102639.0,136.44,3938.48,2.41,1.22,37.75
2024-12-05 16:00:00,101606.0,144.06,3893.26,2.37,1.21,36.61
2024-12-05 20:00:00,99127.0,139.83,3828.39,2.34,1.19,36.15
2024-12-06 00:00:00,97202.0,136.5,3796.87,2.25,1.17,35.73
2024-12-06 04:00:00,97632.0,137.13,3895.94,2.31,1.19,36.39
2024-12-06 08:00:00,98201.0,135.62,3897.57,2.33,1.19,36.4
2024-12-06 12:00:00,98113.0,132.83,3867.36,2.27,1.16,35.03
2024-12-06 16:00:00,99339.0,133.59,4008.19,2.33,1.21,36.73
2024-12-06 20:00:00,101917.0,136.87,4074.45,2.36,1.23,39.51
2024-12-07 00:00:00,99974.0,136.11,4013.73,2.42,1.23,38.52
2024-12-07 04:00:00,99635.0,135.32,3997.95,2.42,1.2,37.69
2024-12-07 08:00:00,99411.0,136.6,3986.39,2.4,1.21,37.23
2024-12-07 12:00:00,99753.0,137.66,4004.93,2.44,1.21,37.55
2024-12-07 16:00:00,99713.0,136.63,4005.17,2.5,1.21,37.48
2024-12-07 20:00:00,100252.0,133.86,4019.21,2.52,1.2,37.44
2024-12-08 00:00:00,99782.0,133.69,4000.99,2.59,1.21,37.32
2024-12-08 04:00:00,100032.0,134.4,3994.05,2.59,1.21,37.22
2024-12-08 08:00:00,99804.0,132.82,3984.81,2.56,1.2,36.84
2024-12-08 12:00:00,99784.0,133.15,3977.84,2.55,1.21,36.65
2024-12-08 16:00:00,99991.0,134.7,4000.66,2.55,1.19,36.8
2024-12-08 20:00:00,99868.0,133.23,3986.47,2.59,1.18,36.72
2024-12-09 00:00:00,101235.0,135.65,4015.78,2.62,1.2,37.24
2024-12-09 04:00:00,98768.0,129.05,3918.58,2.45,1.15,35.3
2024-12-09 08:00:00,99692.0,127.45,3926.5,2.45,1.16,35.52
2024-12-09 12:00:00,98205.0,122.27,3853.44,2.38,1.11,34.13
2024-12-09 16:00:00,97503.0,122.69,3806.7,2.38,1.11,34.18
2024-12-09 20:00:00,96982.0,122.1,3801.98,2.41,1.11,34.17
2024-12-10 00:00:00,97354.0,110.72,3713.31,2.22,1.008,31.44
2024-12-10 04:00:00,96987.0,109.07,3692.93,2.15,0.982175,30.38
2024-12-10 08:00:00,97173.0,113.31,3731.93,2.2,1.011,31.17
2024-12-10 12:00:00,97937.0,112.74,3758.21,2.23,1.023,31.24
2024-12-10 16:00:00,95879.0,105.73,3564.46,2.06,0.955635,28.94
2024-12-10 20:00:00,95908.0,106.77,3626.72,2.1,0.962457,29.34
2024-12-11 00:00:00,96650.0,109.53,3626.59,2.35,1.017,30.19
2024-12-11 04:00:00,97475.0,109.95,3665.25,2.3,1.013,30.04
2024-12-11 08:00:00,97344.0,109.43,3656.39,2.3,1.004,29.74
2024-12-11 12:00:00,98355.0,112.31,3713.66,2.36,1.023,30.66
